Country,Year,Climate change,Energy,Environment,Forestry,Land and soil,Water
China,2000,0.0,0.0,0.4375,0.0625,0.0,0.0
China,2001,0.0,0.0,0.6111111111111112,0.05555555555555555,0.0,0.0
China,2002,0.0,0.0,0.4615384615384616,0.07692307692307693,0.0,0.0
China,2003,0.0,0.0,0.6111111111111112,0.0,0.0,0.0
China,2004,0.0,0.0303030303030303,0.4545454545454545,0.09090909090909091,0.06060606060606061,0.09090909090909091
China,2005,0.0,0.02857142857142857,0.6,0.05714285714285714,0.0,0.02857142857142857
China,2006,0.0,0.03703703703703703,0.4444444444444444,0.07407407407407407,0.0,0.0
China,2007,0.02941176470588235,0.02941176470588235,0.5882352941176471,0.0,0.02941176470588235,0.02941176470588235
China,2008,0.0,0.0,0.7666666666666667,0.03333333333333333,0.0,0.0
China,2009,0.05555555555555555,0.08333333333333333,0.5833333333333334,0.02777777777777778,0.0,0.02777777777777778
China,2010,0.05714285714285714,0.0,0.5428571428571428,0.02857142857142857,0.0,0.02857142857142857
China,2011,0.04761904761904762,0.04761904761904762,0.5,0.04761904761904762,0.02380952380952381,0.09523809523809523
China,2012,0.02083333333333333,0.02083333333333333,0.5833333333333334,0.0,0.0,0.08333333333333333
China,2013,0.0392156862745098,0.0196078431372549,0.5686274509803921,0.0392156862745098,0.0,0.05882352941176471
China,2014,0.08196721311475409,0.04918032786885246,0.639344262295082,0.04918032786885246,0.03278688524590164,0.08196721311475409
China,2015,0.1515151515151515,0.09090909090909091,0.6363636363636364,0.0303030303030303,0.0,0.06060606060606061
China,2016,0.07407407407407407,0.01851851851851852,0.5740740740740741,0.07407407407407407,0.03703703703703703,0.03703703703703703
China,2017,0.09090909090909091,0.09090909090909091,0.5636363636363636,0.01818181818181818,0.05454545454545454,0.0
China,2018,0.0425531914893617,0.02127659574468085,0.4893617021276596,0.0,0.02127659574468085,0.0
China,2019,0.02222222222222222,0.04444444444444445,0.6222222222222222,0.0,0.06666666666666667,0.0
China,2020,0.0,0.0,0.3064516129032258,0.08064516129032258,0.01612903225806452,0.03225806451612903
China,2021,0.1296296296296296,0.01851851851851852,0.3148148148148148,0.05555555555555555,0.1481481481481481,0.05555555555555555
China,2022,0.1166666666666667,0.01666666666666667,0.55,0.05,0.01666666666666667,0.1
China,2023,0.1714285714285714,0.0,0.4571428571428571,0.0,0.05714285714285714,0.0
China,2024,0.1578947368421053,0.0,0.5,0.1578947368421053,0.05263157894736842,0.02631578947368421
India,2000,0.0,0.0,1.0,0.0,0.0,0.0
India,2001,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
India,2002,0.0,0.0,0.875,0.0,0.0,0.0
India,2003,0.0,0.0,0.5,0.0,0.0,0.0
India,2004,0.0,0.0,0.6,0.0,0.2,0.0
India,2005,0.0,0.0,0.5,0.0,0.0,0.0
India,2006,0.0,0.0,0.5333333333333333,0.1333333333333333,0.0,0.0
India,2007,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
India,2008,0.05882352941176471,0.0,0.5882352941176471,0.05882352941176471,0.0,0.1764705882352941
India,2009,0.04166666666666666,0.0,0.4166666666666667,0.0,0.0,0.04166666666666666
India,2010,0.07142857142857142,0.0,0.2142857142857143,0.0,0.0,0.0
India,2011,0.2666666666666667,0.0,0.4,0.0,0.0,0.0
India,2012,0.3333333333333333,0.0,0.1333333333333333,0.0,0.0,0.06666666666666667
India,2013,0.5714285714285714,0.0,0.1428571428571428,0.0,0.0,0.0
India,2014,0.5909090909090909,0.0,0.1363636363636364,0.0,0.0,0.09090909090909091
India,2015,0.4545454545454545,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091
India,2016,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.0
India,2017,0.0,0.0,0.125,0.0,0.0,0.125
India,2018,0.125,0.0,0.375,0.125,0.0,0.0
India,2019,0.09090909090909091,0.0,0.4545454545454545,0.0,0.0,0.09090909090909091
India,2020,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111
India,2021,0.1764705882352941,0.0,0.3529411764705883,0.0,0.0,0.1764705882352941
India,2022,0.2,0.06666666666666667,0.5333333333333333,0.0,0.0,0.1333333333333333
India,2023,0.06666666666666667,0.0,0.4666666666666667,0.0,0.0,0.06666666666666667
India,2024,0.09090909090909091,0.0,0.5454545454545454,0.0,0.0,0.1818181818181818
Japan,2000,0.0,0.2,0.8,0.0,0.0,0.0
Japan,2001,0.0,0.0,0.0,1.0,0.0,0.0
Japan,2002,0.0,0.0,0.25,0.0,0.0,0.0
Japan,2003,0.0,0.0,1.0,0.0,0.0,0.0
Japan,2004,0.0,0.0,0.5,0.0,0.0,0.0
Japan,2005,0.0,0.0,1.0,0.0,0.0,0.0
Japan,2007,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Japan,2008,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
Japan,2009,0.0,0.5,0.5,0.0,0.0,0.0
Japan,2011,0.0,0.25,0.25,0.25,0.0,0.0
Japan,2012,0.1428571428571428,0.0,0.2857142857142857,0.0,0.0,0.0
Japan,2013,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
Japan,2015,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
Japan,2016,0.0,0.0,0.0,0.5,0.0,0.0
Japan,2017,0.0,0.0,0.5,0.0,0.0,0.0
Japan,2018,0.5,0.0,1.0,0.0,0.0,0.0
Japan,2019,0.0,0.0,0.5,0.0,0.0,0.0
Japan,2020,1.0,1.0,1.0,0.0,0.0,0.0
Japan,2021,0.5714285714285714,0.0,0.2857142857142857,0.1428571428571428,0.0,0.0
Japan,2022,0.0,0.0,1.0,0.0,0.0,0.0
Japan,2023,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Japan,2024,0.5,0.0,0.0,0.0,0.0,0.0
Russia,2000,0.0,0.009900990099009901,0.6435643564356436,0.0198019801980198,0.009900990099009901,0.009900990099009901
Russia,2001,0.0,0.0,0.3893805309734513,0.06194690265486726,0.008849557522123894,0.01769911504424779
Russia,2002,0.0,0.01492537313432836,0.5074626865671642,0.07462686567164178,0.05970149253731343,0.01492537313432836
Russia,2003,0.0,0.0,0.3333333333333333,0.07017543859649122,0.04385964912280702,0.01754385964912281
Russia,2004,0.0,0.008928571428571428,0.4732142857142857,0.02678571428571428,0.05357142857142857,0.03571428571428571
Russia,2005,0.0,0.02631578947368421,0.6710526315789473,0.0,0.05263157894736842,0.03947368421052631
Russia,2006,0.0,0.0,0.5783132530120482,0.06024096385542169,0.1325301204819277,0.03614457831325301
Russia,2007,0.0,0.0072992700729927,0.5328467153284672,0.1532846715328467,0.06569343065693431,0.0
Russia,2008,0.0072992700729927,0.0072992700729927,0.4452554744525548,0.1678832116788321,0.0291970802919708,0.0583941605839416
Russia,2009,0.0170940170940171,0.02564102564102564,0.4700854700854701,0.1025641025641026,0.05982905982905983,0.04273504273504274
Russia,2010,0.0,0.0125,0.34375,0.1,0.01875,0.0
Russia,2011,0.0,0.00847457627118644,0.559322033898305,0.06779661016949153,0.05084745762711865,0.0423728813559322
Russia,2012,0.0,0.02649006622516556,0.4768211920529801,0.06622516556291391,0.02649006622516556,0.03311258278145696
Russia,2013,0.0,0.05555555555555555,0.5714285714285714,0.04761904761904762,0.07142857142857142,0.07142857142857142
Russia,2014,0.007518796992481203,0.04511278195488722,0.6090225563909775,0.01503759398496241,0.09774436090225563,0.1503759398496241
Russia,2015,0.005830903790087463,0.02040816326530612,0.7230320699708455,0.05830903790087463,0.1690962099125364,0.06997084548104957
Russia,2016,0.0,0.03829787234042553,0.6425531914893617,0.1234042553191489,0.08936170212765958,0.06382978723404255
Russia,2017,0.0,0.04819277108433735,0.6265060240963856,0.2650602409638554,0.02409638554216868,0.07228915662650602
Russia,2018,0.0,0.0,0.4666666666666667,0.12,0.1733333333333333,0.05333333333333334
Russia,2019,0.01298701298701299,0.0,0.3376623376623377,0.02597402597402598,0.05194805194805195,0.03896103896103896
Russia,2020,0.01388888888888889,0.02777777777777778,0.2569444444444444,0.02777777777777778,0.01388888888888889,0.02777777777777778
